City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,preobrazheniye,42.9019,133.9064,18.72,72,62,0.75,RU,1718057968
84,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,86,0,4.47,RU,1718057840
85,mizque,-17.941,-65.3402,19.35,53,3,2.24,BO,1718057968
86,aktau,43.65,51.2,27.32,48,94,3.17,KZ,1718057904
87,warrnambool,-38.3833,142.4833,14.73,66,100,12.56,AU,1718057969
88,tshabong,-26.05,22.45,10.13,40,0,5.7,BW,1718057969
89,tafuna,-14.3358,-170.72,27.97,78,75,7.2,AS,1718057969
90,kingston,17.997,-76.7936,30.65,70,20,10.8,JM,1718057674
91,igarka,67.4667,86.5833,7.79,92,87,2.68,RU,1718057879
92,kolonia town,6.964,158.206,29.06,84,75,4.63,FM,1718057969
93,vadso,70.0744,29.7487,5.49,100,100,7.2,NO,1718057864
94,ormara,25.2088,64.6357,28.17,87,0,6.67,PK,1718057970
95,onega,63.9061,38.1404,7.89,87,18,2.27,RU,1718057970
96,avarua,-21.2078,-159.775,24.03,53,75,3.6,CK,1718057854
97,constantia,44.1833,28.65,22.61,80,61,5.51,RO,1718057648
98,bahir dar,11.5936,37.3908,19.56,80,96,4.09,ET,1718057970
99,iisalmi,63.5592,27.1907,7.14,94,80,2.37,FI,1718057970
100,yeed,4.55,43.0333,24.81,63,37,8.27,SO,1718057970
101,carauari,-4.8828,-66.8958,28.06,74,81,1.12,BR,1718057970
102,caconda,-13.7333,15.0667,12.97,43,5,2.36,AO,1718057970
103,mugia,43.1041,-9.2179,14.95,74,30,8.87,ES,1718057836
104,kilju,40.9642,129.3278,20.74,63,49,0.76,KP,1718057971
105,praia da vitoria,38.7333,-27.0667,20.14,73,40,3.42,PT,1718057856
106,fernley,39.608,-119.2518,33.49,17,1,1.38,US,1718057859
107,nova sintra,14.8667,-24.7167,23.8,81,0,9.68,CV,1718057860
108,alaghsas,17.0187,8.0168,32.14,17,0,4.06,NE,1718057971
109,trail,49.0998,-117.7022,25.54,42,66,1.88,CA,1718057971
110,ilulissat,69.2167,-51.1,2.01,80,40,4.63,GL,1718057840
111,egilsstadir,65.2653,-14.3948,3.95,87,0,4.63,IS,1718057869
112,west island,-12.1568,96.8225,25.99,94,100,7.2,CC,1718057849
113,singkil,-7.9855,111.4161,23.49,94,20,1.7,ID,1718057972
114,bethel,41.3712,-73.414,23.2,57,20,4.63,US,1718057847
115,chonchi,-42.6128,-73.8092,11.18,95,99,3.34,CL,1718057846
116,hawaiian paradise park,19.5933,-154.9731,26.73,71,75,6.17,US,1718057846
117,dzhetygara,52.1908,61.2006,17.23,75,49,3.06,KZ,1718057972
118,anadyr,64.75,177.4833,9.28,61,40,2.0,RU,1718057844
119,shingu,33.7333,135.9833,21.76,72,69,0.66,JP,1718057903
120,rio grande,-32.035,-52.0986,17.06,91,9,3.39,BR,1718057973
121,edinburgh of the seven seas,-37.0676,-12.3116,14.58,76,14,10.33,SH,1718057837
122,namtsy,62.7161,129.6658,17.39,45,90,1.18,RU,1718057878
123,kununurra,-15.7667,128.7333,11.99,87,83,1.03,AU,1718057973
124,perry,37.2506,-83.1999,26.1,60,95,4.27,US,1718057707
125,whitehorse,60.7161,-135.0538,20.45,30,68,5.36,CA,1718057805
126,namibe,-15.1961,12.1522,19.41,87,19,2.88,AO,1718057848
127,alice springs,-23.7,133.8833,4.75,87,0,0.51,AU,1718057850
128,birjand,32.8663,59.2211,18.26,24,0,3.09,IR,1718057974
129,gorgan,36.8387,54.4348,21.98,73,0,0.0,IR,1718057974
130,mount pearl,47.5166,-52.7813,16.19,98,100,3.09,CA,1718057974
131,banda aceh,5.5577,95.3222,27.96,78,100,5.43,ID,1718057848
132,tolanaro,-25.0319,46.9987,20.04,73,40,7.2,MG,1718057851
133,coquimbo,-29.9533,-71.3436,12.77,74,100,0.64,CL,1718057754
134,santa cruz,-17.8,-63.1667,27.61,40,6,4.91,BO,1718057641
135,nieuw amsterdam,5.8833,-55.0833,27.01,94,40,2.06,SR,1718057975
136,peruibe,-24.32,-46.9983,22.42,68,5,2.25,BR,1718057975
137,toliara,-23.35,43.6667,19.13,71,0,7.15,MG,1718057975
138,kitimat,54.0524,-128.6534,15.21,75,100,1.79,CA,1718057975
139,niafunke,15.9322,-3.9906,35.75,26,0,5.0,ML,1718057975
140,urangan,-25.3,152.9,12.89,76,0,3.58,AU,1718057976
141,caleta olivia,-46.4393,-67.5281,7.67,89,100,7.24,AR,1718057976
142,surgut,61.25,73.4167,18.28,48,0,4.0,RU,1718057976
143,new norfolk,-42.7826,147.0587,12.72,87,100,3.8,AU,1718057858
144,lakatoro,-16.0999,167.4164,27.36,77,29,1.26,VU,1718057976
